[***********; 2021/6/23 at 10:4] ;************
Axis1; ; Axis2; ; Axis3; ; Axis4
0.000000; 0x0; 0.000000; 0x0; -0.000035; 0xfffff8d9; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000035; 0xfffff8d9; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000035; 0xfffff8d8; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000035; 0xfffff8d8; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000035; 0xfffff8d8; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000035; 0xfffff8d8; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000035; 0xfffff8d8; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000035; 0xfffff8d8; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000035; 0xfffff8d8; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000035; 0xfffff8d7; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000035; 0xfffff8d7; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000035; 0xfffff8d7; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000035; 0xfffff8d7; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000035; 0xfffff8d7; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000035; 0xfffff8d7; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000035; 0xfffff8d7; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000035; 0xfffff8d7; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000035; 0xfffff8d7; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000035; 0xfffff8d7; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000035; 0xfffff8d6; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000035; 0xfffff8d6; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000035; 0xfffff8d6; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000035; 0xfffff8d6; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000035; 0xfffff8d5; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000035; 0xfffff8d5; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000035; 0xfffff8d5; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000035; 0xfffff8d5; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000035; 0xfffff8d5; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000035; 0xfffff8d4; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000035; 0xfffff8d4; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000035; 0xfffff8d4; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000035; 0xfffff8d4; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000035; 0xfffff8d4; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000035; 0xfffff8d4; 0.000000; 0x0 
0.000000; 0x0; 0.000000; 0x0; -0.000035; 0xfffff8d4; 0.000000; 0x0 
